349,20210105,20210105,676,285,1,2024.994,1898.0944,2024.994,Reseller
350,20210105,20210105,676,285,3,2024.994,5694.2832,6074.982,Reseller
351,20210105,20210105,676,285,1,2024.994,1898.0944,2024.994,Reseller
344,20210105,20210105,676,285,1,2039.994,1912.1544,2039.994,Reseller
345,20210105,20210105,676,285,1,2039.994,1912.1544,2039.994,Reseller
346,20210105,20210105,676,285,2,2039.994,3824.3088,4079.988,Reseller
347,20210105,20210105,676,285,1,2039.994,1912.1544,2039.994,Reseller
229,20210105,20210105,676,285,3,28.8404,95.1732,86.5212,Reseller
235,20210105,20210105,676,285,1,28.8404,31.7244,28.8404,Reseller
218,20210105,20210105,676,285,6,5.70,20.3778,34.20,Reseller
223,20210105,20210105,676,285,2,5.1865,11.4104,10.373,Reseller
220,20210105,20210105,676,285,4,20.1865,48.1112,80.746,Reseller
326,20210105,20210105,117,285,1,419.4589,413.1463,419.4589,Reseller
319,20210105,20210105,117,285,1,874.794,884.7083,874.794,Reseller
300,20210105,20210105,442,288,1,809.76,699.0928,809.76,Reseller
296,20210105,20210105,442,288,1,714.7043,617.0281,714.7043,Reseller
304,20210105,20210105,442,288,2,714.7043,1234.0562,1429.4086,Reseller
223,20210105,20210105,442,288,4,5.1865,22.8208,20.746,Reseller
232,20210105,20210105,442,288,4,28.8404,126.8976,115.3616,Reseller
293,20210105,20210105,442,288,2,722.5949,1247.6806,1445.1898,Reseller
348,20210105,20210105,442,288,3,2024.994,5694.2832,6074.982,Reseller
351,20210105,20210105,442,288,2,2024.994,3796.1888,4049.988,Reseller
220,20210105,20210105,442,288,2,20.1865,24.0556,40.373,Reseller
292,20210105,20210105,442,288,2,818.70,1413.622,1637.40,Reseller
349,20210105,20210105,442,288,4,2024.994,7592.3776,8099.976,Reseller
346,20210105,20210105,442,288,2,2039.994,3824.3088,4079.988,Reseller
235,20210105,20210105,442,288,2,28.8404,63.4488,57.6808,Reseller
350,20210105,20210105,442,288,2,2024.994,3796.1888,4049.988,Reseller
215,20210105,20210105,442,288,5,20.1865,60.139,100.9325,Reseller
330,20210105,20210105,227,288,3,419.4589,1239.4389,1258.3767,Reseller
342,20210105,20210105,227,288,5,419.4589,2065.7315,2097.2945,Reseller
272,20210105,20210105,227,288,2,183.9382,362.9714,367.8764,Reseller
315,20210105,20210105,227,288,4,874.794,3538.8332,3499.176,Reseller
262,20210105,20210105,227,288,3,183.9382,544.4571,551.8146,Reseller
326,20210105,20210105,227,288,5,419.4589,2065.7315,2097.2945,Reseller
332,20210105,20210105,227,288,3,419.4589,1239.4389,1258.3767,Reseller
338,20210105,20210105,227,288,2,419.4589,826.2926,838.9178,Reseller
314,20210105,20210105,227,288,1,2146.962,2171.2942,2146.962,Reseller
317,20210105,20210105,227,288,1,874.794,884.7083,874.794,Reseller
328,20210105,20210105,227,288,3,419.4589,1239.4389,1258.3767,Reseller
275,20210105,20210105,227,288,1,356.898,352.1394,356.898,Reseller
319,20210105,20210105,227,288,6,874.794,5308.2498,5248.764,Reseller
270,20210105,20210105,227,288,1,183.9382,181.4857,183.9382,Reseller
