310,20201229,20210105,21768,1,3578.27,2171.2942,3578.27,Online
346,20201229,20210105,28389,1,3399.99,1912.1544,3399.99,Online
346,20201229,20210105,25863,1,3399.99,1912.1544,3399.99,Online
336,20201229,20210105,14501,1,699.0982,413.1463,699.0982,Online
346,20201229,20210105,11003,1,3399.99,1912.1544,3399.99,Online
311,20201230,20210106,27645,1,3578.27,2171.2942,3578.27,Online
310,20201230,20210106,16624,1,3578.27,2171.2942,3578.27,Online
351,20201230,20210106,11005,1,3374.99,1898.0944,3374.99,Online
344,20201230,20210106,11011,1,3399.99,1912.1544,3399.99,Online
312,20201231,20210107,27621,1,3578.27,2171.2942,3578.27,Online
312,20201231,20210107,27616,1,3578.27,2171.2942,3578.27,Online
330,20201231,20210107,20042,1,699.0982,413.1463,699.0982,Online
313,20201231,20210107,16351,1,3578.27,2171.2942,3578.27,Online
314,20201231,20210107,16517,1,3578.27,2171.2942,3578.27,Online
314,20210101,20210108,27606,1,3578.27,2171.2942,3578.27,Online
311,20210101,20210108,13513,1,3578.27,2171.2942,3578.27,Online
310,20210102,20210109,27601,1,3578.27,2171.2942,3578.27,Online
311,20210102,20210109,13591,1,3578.27,2171.2942,3578.27,Online
314,20210102,20210109,16483,1,3578.27,2171.2942,3578.27,Online
311,20210102,20210109,16529,1,3578.27,2171.2942,3578.27,Online
336,20210102,20210109,25249,1,699.0982,413.1463,699.0982,Online
311,20210103,20210110,27668,1,3578.27,2171.2942,3578.27,Online
312,20210103,20210110,27612,1,3578.27,2171.2942,3578.27,Online
311,20210103,20210110,13264,1,3578.27,2171.2942,3578.27,Online
310,20210103,20210110,13590,1,3578.27,2171.2942,3578.27,Online
312,20210104,20210111,13581,1,3578.27,2171.2942,3578.27,Online
332,20210104,20210111,14520,1,699.0982,413.1463,699.0982,Online
311,20210104,20210111,16520,1,3578.27,2171.2942,3578.27,Online
311,20210105,20210112,13258,1,3578.27,2171.2942,3578.27,Online
332,20210105,20210112,14560,1,699.0982,413.1463,699.0982,Online
311,20210105,20210112,16607,1,3578.27,2171.2942,3578.27,Online
313,20210106,20210113,27666,1,3578.27,2171.2942,3578.27,Online
346,20210106,20210113,11238,1,3399.99,1912.1544,3399.99,Online
346,20210106,20210113,25861,1,3399.99,1912.1544,3399.99,Online
314,20210106,20210113,16629,1,3578.27,2171.2942,3578.27,Online
